iter	RMSE
0	4466.232606
1	4337.207464
2	4211.673634
3	4094.900653
4	3990.010362
5	3892.652232
6	3803.114049
7	3719.256783
8	3646.509297
9	3571.200361
10	3505.774826
11	3441.695769
12	3386.511485
13	3332.028072
14	3284.750468
15	3239.414664
16	3197.86472
17	3157.837896
18	3124.614056
19	3091.499212
20	3062.269633
21	3033.409445
22	3009.718428
23	2982.519651
24	2961.39466
25	2941.61148
26	2921.153787
27	2903.100463
28	2886.606317
29	2873.64494
30	2858.653167
31	2843.645225
32	2829.014455
33	2817.599203
34	2808.509683
35	2797.675109
36	2785.402469
37	2775.932038
38	2767.603909
39	2764.565747
40	2755.392318
41	2746.946598
42	2740.09763
43	2731.738293
44	2723.277635
45	2715.107761
46	2709.35126
47	2703.102001
48	2695.778123
49	2689.656202
50	2683.447023
51	2675.411319
52	2668.861302
53	2663.41391
54	2656.713585
55	2647.533614
56	2641.237911
57	2633.399318
58	2629.659995
59	2622.93329
60	2618.256917
61	2612.414873
62	2607.069381
63	2602.932579
64	2595.186904
65	2591.706552
66	2586.630995
67	2581.952294
68	2574.998446
69	2571.518221
70	2564.6988
71	2560.49611
72	2555.448436
73	2551.03861
74	2548.470668
75	2544.274846
76	2538.276253
77	2533.428054
78	2530.135564
79	2525.390554
80	2522.632534
81	2519.286726
82	2516.478339
83	2510.951788
84	2506.824648
85	2502.452957
86	2499.692992
87	2497.666632
88	2494.728926
89	2491.354624
90	2486.172171
91	2483.227193
92	2480.911374
93	2476.10558
94	2471.94653
95	2469.011574
96	2465.989393
97	2461.975183
98	2458.745311
99	2455.807193
100	2453.490958
101	2449.624538
102	2446.680957
103	2443.873034
104	2438.757685
105	2435.362967
106	2431.695613
107	2428.89319
108	2426.843815
109	2424.2252
110	2420.583562
111	2418.245002
112	2416.544562
113	2413.76746
114	2410.963435
115	2407.594903
116	2405.578593
117	2401.810378
118	2400.323271
119	2398.493387
120	2395.546504
121	2394.63259
122	2392.495149
123	2388.981045
124	2385.547059
125	2383.480522
126	2380.257236
127	2379.207055
128	2374.698474
129	2370.63743
130	2368.681433
131	2367.520982
132	2366.410619
133	2364.718167
134	2363.730398
135	2361.154712
136	2358.925451
137	2355.679272
138	2353.306788
139	2351.193307
140	2348.892024
141	2346.170292
142	2343.149557
143	2340.314346
144	2338.305749
145	2335.771377
146	2334.226731
147	2333.232806
148	2330.527833
149	2328.833011
150	2326.357879
151	2323.877851
152	2322.541578
153	2318.608357
154	2315.405645
155	2313.640681
156	2310.52557
157	2307.562114
158	2305.461642
159	2303.777126
160	2301.440759
161	2300.041438
162	2296.927686
163	2295.671733
164	2294.59294
165	2291.307356
166	2289.575956
167	2287.692342
168	2285.090925
169	2281.856733
170	2279.930719
171	2278.229186
172	2276.861832
173	2274.180414
174	2272.659186
175	2269.362336
176	2267.716353
177	2266.063344
178	2264.219617
179	2262.772237
180	2260.870837
181	2259.150134
182	2257.726805
183	2256.204822
184	2254.490925
185	2251.455179
186	2249.756128
187	2248.473493
188	2246.051057
189	2244.956443
190	2242.602514
191	2240.903428
192	2239.275591
193	2237.330606
194	2234.170566
195	2232.062819
196	2230.122844
197	2228.358044
198	2226.360547
199	2224.928853
200	2222.753951
201	2219.404348
202	2217.924998
203	2216.44546
204	2213.90235
205	2211.591981
206	2209.93077
207	2208.157161
208	2206.817162
209	2205.227895
210	2203.747034
211	2199.676301
212	2197.380531
213	2196.55242
214	2194.591527
215	2193.170841
216	2191.371162
217	2190.00551
218	2188.525463
219	2187.050423
220	2186.063589
221	2184.826892
222	2183.017388
223	2181.746019
224	2180.482422
225	2179.368823
226	2177.224921
227	2174.676777
228	2173.306822
229	2170.393722
230	2169.040726
231	2167.047517
232	2164.087129
233	2163.115494
234	2159.663307
235	2157.881671
236	2156.475655
237	2155.072696
238	2153.803416
239	2151.727185
240	2150.463074
241	2148.977691
242	2147.457393
243	2146.637821
244	2145.491092
245	2143.642146
246	2142.332332
247	2140.572728
248	2138.926249
249	2137.951554
250	2135.44093
251	2133.754914
252	2132.274367
253	2131.093511
254	2130.270818
255	2129.332954
256	2127.55553
257	2126.353392
258	2124.368954
259	2123.458793
260	2121.025004
261	2119.851445
262	2119.139683
263	2117.549222
264	2116.474686
265	2115.274533
266	2113.913849
267	2110.859656
268	2109.105144
269	2107.368181
270	2105.125235
271	2103.059113
272	2101.12314
273	2099.763856
274	2098.528319
275	2097.331557
276	2096.057587
277	2094.371825
278	2093.041634
279	2091.59554
