iter	Passed	Remaining
0	2	2721
1	5	2555
2	7	2471
3	9	2432
4	12	2416
5	14	2395
6	17	2424
7	19	2403
8	21	2385
9	24	2381
10	26	2372
11	28	2363
12	30	2350
13	33	2336
14	35	2330
15	37	2331
16	40	2326
17	42	2317
18	44	2314
19	47	2311
20	49	2309
21	51	2310
22	54	2311
23	56	2304
24	58	2299
25	61	2290
26	63	2288
27	65	2286
28	68	2282
29	70	2279
30	72	2277
31	75	2272
32	77	2266
33	79	2260
34	82	2261
35	84	2255
36	86	2248
37	88	2243
38	90	2239
39	92	2211
40	94	2212
41	97	2215
42	99	2211
43	101	2208
44	103	2205
45	106	2203
46	108	2202
47	110	2199
48	113	2196
49	115	2191
50	117	2189
51	119	2184
52	122	2181
53	124	2176
54	126	2173
55	128	2170
56	130	2165
57	133	2163
58	135	2160
59	137	2157
60	139	2153
61	142	2149
62	144	2146
63	146	2142
64	148	2139
65	150	2136
66	153	2133
67	155	2131
68	157	2128
69	159	2124
70	162	2122
71	164	2119
72	166	2116
73	168	2113
74	171	2111
75	173	2108
76	175	2104
77	177	2100
78	180	2098
79	182	2096
80	184	2098
81	187	2100
82	190	2099
83	192	2098
84	195	2099
85	197	2099
86	200	2099
87	202	2097
88	204	2095
89	206	2091
90	209	2089
91	211	2086
92	213	2083
93	215	2080
94	218	2078
95	220	2075
96	222	2072
97	224	2070
98	227	2067
99	229	2064
100	231	2061
101	233	2058
102	235	2055
103	238	2052
104	240	2048
105	242	2045
106	244	2042
107	246	2039
108	249	2036
109	251	2034
110	253	2031
111	255	2028
112	258	2025
113	260	2023
114	262	2020
115	264	2017
116	266	2014
117	269	2011
118	271	2008
119	273	2005
120	275	2003
121	277	2000
122	280	1997
123	282	1995
124	284	1992
125	286	1990
126	289	1989
127	291	1986
128	294	1985
129	296	1982
130	298	1980
131	300	1977
132	303	1976
133	305	1974
134	307	1972
135	310	1969
136	312	1967
137	314	1964
138	316	1961
139	318	1959
140	321	1957
141	323	1954
142	325	1951
143	327	1949
144	330	1947
145	332	1944
146	334	1942
147	336	1939
148	339	1937
149	341	1934
150	343	1931
151	345	1928
152	347	1925
153	350	1923
154	352	1920
155	354	1918
156	356	1915
157	359	1913
158	361	1910
159	363	1907
160	365	1905
161	367	1902
162	370	1900
163	372	1897
164	374	1895
165	377	1894
166	379	1893
167	382	1892
168	384	1891
169	387	1890
170	389	1888
171	392	1888
172	395	1888
173	397	1887
174	400	1885
175	402	1884
176	405	1883
177	407	1882
178	410	1880
179	412	1879
180	414	1876
181	417	1874
182	419	1871
183	421	1869
184	423	1867
185	426	1864
186	428	1862
187	430	1859
188	432	1857
189	435	1854
190	437	1852
191	439	1849
192	441	1847
193	443	1844
194	446	1842
195	448	1839
196	450	1836
197	452	1834
198	455	1831
199	457	1828
200	459	1826
201	461	1823
202	463	1821
203	466	1819
204	468	1816
205	470	1814
206	472	1811
207	475	1809
208	477	1807
209	479	1804
210	482	1802
211	484	1800
212	486	1798
213	489	1796
214	491	1793
215	493	1791
216	496	1789
217	498	1787
